reviewId,userName,content,score
21a2ab8c-8d75-4ef5-a987-2133817f66bc,Rusdi Yan,Dari top up sampe withdraw lama terlalu ngambil banyak untungnya,1
cc0e1561-7e85-4df1-ba3c-72624e08e7db,Sandy Meliala,"Gabisa menarik dana, ini aplikasi scam, google authentic sudah benar tapi salah di apk, memang nampaknya ini penipuan, disuruh komplain ke live chat tapi isinya cuma template, gak ada kontak email untuk komplain, ini SCAM",1
3a02bd31-15b5-4404-8bf8-32897dbf9fbf,Sri Handono,Authenticator nya ribet salah2 terus kayak di persulit kalau penarikan. Kenapa tidak di buat yg simple .,1
5096d441-af3a-49d1-a43c-0f3f7577b5f6,Fajar Subhi,sangat direpotkan dengan banyaknya verifikasi terutama verifikasi google autentikasi sehingga mengganggu berbagai aktifitas seperti transfer koin dll.,1
a1a6c67a-e030-4fe1-ab3f-7838ad539207,jee leo,Taik.. bikin ribet ni id rujukan nya Mana kode verifikasi salah mulu padah dapet nge copy dari Gmail belum ada 30 detik tapi gagal mulu. Ampas bener ni aplikasi,1
b2163fb9-04d2-4d1e-a0b0-4a36bddf9735,ARC channel,"yang jadi masalah sekarang adalah ,ketika aplikasi google autentic yg tidak sengaja kehapus,kita tidak bisa melakukan penarikan ke akun bank kita, apakah ada solusinya selain kita harus unduh google autentic lagi,,,karena saya coba cari aplikasi tsb,,ternyata sudah tidak kompatible dengan hp versi android saya. bagaimana caranya agar saya bisa melakukan penarikan??",1
2d34c1b8-72a9-4293-a3fa-bc18a669cc00,kchannel club,"Saya baru aja daftar,dan kenapa saya tidak bisa masuk?... kenapa email dan sandi yang saya masukkan salah, padahal saya juga menyadari bahwa itu benar sandi yang benar. Mohon kerjasamanya,saya baru mencobanya dan kejujurannya.terima kasih banyak kakak.",1
849a8acf-7307-4119-a888-b1e3190acdf6,Tahmid Aff,"Parah si nih aplikasi, mau narik duit sendiri aja di persulit, udah masukin kode Google Authenticatir berkali kali masih aja salah. Udah ngikutin petunjuk katanya jam di buat otommatis segala macem tapi masih aja gak jadi, udah 2 hari ini mencoba melakukan penarikan masih aja gagal. Percumah trading Crypto di aplikasi ini kalo semisal mau narik aja susah, ini bukan kendala saya saja, ada banyak sekali yang mengeluhkan hal sama. Sama aja itu merugikan konsumen percumah",1
bec0ef23-6320-4cdc-8165-dfe989cdeaee,Dessepta Rico Putra,"Giliran deposit gak ribet sama sekali, tapi giliran mau penarikan ribetnya minta ampun, udah masukin GA tetap juga salah terus, gmna saldo ini mau di penarikan.",1
7002b3ed-ead4-4229-92b4-13cfa7d351b4,Dery CI,"""Data anda tidaj terdaftar di dukcapil"" padahal semua sudah diisi dengan benar. Cemana aplikasi ini. Wajar ratingnya buruk .",1
